ID;Vereinsname;Stadionname;n. B.;ö. L.;Anmerkung
1;SC Weiche Flensburg 08;Manfred-Werner-Stadion;54,7598;9,4071;
2;SV Todesfelde;Joda Sportpark;53,8976;10,1853;möglicher Absteiger
3;VfB Lübeck;Stadion an der Lohmühle;53,8812;10,6690;
4;1. FC Phönix Lübeck;Buniamshof;53,8583;10,6814;
5;SV Drochtersen/Assel;Kehdinger Stadion;53,7038;9,3805;
6;Eimsbütteler TV;ETV-Sportzentrum Hoheluft;53,5892;9,9686;möglicher Absteiger
7;Hamburger SV II;Stadion Hoheluft;53,5876;9,9691;
8;SV Babelsberg 03;Karl-Liebknecht-Stadion;53,3990;13,0947;
9;Kickers Emden;Ostfriesland-Stadion;53,3792;7,2034;
10;Blumenthaler SV;Burgwall-Stadion;53,1880;8,5836;möglicher Absteiger
11;VfB Oldenburg;Marschweg-Stadion;53,1295;8,2064;
12;SSV Jeddeloh;Haskamp-Arena;53,0911;8,0572;
13;Bremer SV;Stadion am Panzenberge;53,0867;8,7943;
14;SV Werder Bremen II;Weserstadion Platz 11;53,0642;8,8437;
15;SV Atlas Delmenhorst;Städtisches Stadion an der Düsternortstraße;53,0385;8,6431;
16;BFC Dynamo;Sportforum Hohenschönhausen;52,5400;13,4772;
17;Hertha BSC II;Stadion auf dem Wurfplatz;52,5172;13,2367;möglicher Absteiger
18;SV Tasmania Berlin;Werner-Seelenbinder-Sportpark;52,4683;13,4176;
19;BFC Preussen;Preussenstadion;52,4327;13,3547;
20;TSV Havelse;Wilhelm-Langrehr-Stadion;52,4088;9,6018;hier beginnt Regio Nord
21;HSC Hannover;HSC-Stadion an der Constatinstraße;52,4026;9,7694;
22;RSV Eintracht Stahnsdorf;Sportanlage Heinrich-Zille-Straße;52,3900;13,1924;
23;Hannover 96 II;Eilenriedestadion;52,3766;9,7729;
24;VSG Altglienicke;Spree-Arena;52,3666;14,0360;
25;1. FC Germania Egestorf/Langreder;Stadion an der Ammerke;52,2860;9,5122;möglicher Absteiger
26;Sportfreunde Lotte;Stadion am Lotter Kreuz;52,2713;7,9191;
27;1. FC Magdeburg II;Avnet Arena;52,1251;11,6708;
28;FSV 63 Luckenwalde;Werner-Seelenbinder-Stadion;52,1032;13,1483;
29;FC Gütersloh;Heidewaldstadion;51,8917;8,3881;
30;1. FC Bocholt;Stadion am Hünting;51,8572;6,6098;
31;SC Paderborn II;Home-Deluxe-Arena;51,7308;8,7111;
